# Cleaned OpenScale data
timestamp_s,raw_force_n,despiked_force_n,filtered_force_n,is_outlier
0.000000,-0.019613,-0.019613,0.019613,0
0.000000,0.009807,0.009807,0.019613,0
0.011520,0.019613,0.019613,0.019613,0
0.043265,0.039227,0.039227,0.019613,0
0.075556,-0.019613,-0.019613,0.019613,0
0.091289,0.039227,0.039227,0.025609,0
0.123375,0.019613,0.019613,0.035991,0
0.139494,0.019613,0.019613,0.037988,0
0.171351,0.088260,0.088260,0.038931,0
0.187358,0.000000,0.000000,0.039113,0
0.219396,0.019613,0.019613,0.039200,0
0.235639,0.049033,0.049033,0.045286,0
0.267456,0.137293,0.137293,0.048137,0
0.299464,0.049033,0.049033,0.048820,0
0.315470,0.088260,0.088260,0.048951,0
0.347508,0.078453,0.078453,0.049014,0
0.363477,0.068647,0.068647,0.049026,0
0.395530,0.058840,0.058840,0.049031,0
0.411532,0.019613,0.019613,0.049033,0
0.444620,0.078453,0.078453,0.049033,0
0.475586,0.049033,0.049033,0.049033,0
0.491853,0.068647,0.068647,0.049033,0
0.523652,0.009807,0.009807,0.049033,0
0.539733,-0.039227,-0.039227,0.049033,0
0.571687,-0.019613,-0.019613,0.049033,0
0.588036,0.098067,0.098067,0.036864,0
0.619733,0.049033,0.049033,0.023750,0
0.651786,0.049033,0.049033,0.020597,0
0.667753,0.019613,0.019613,0.019992,0
0.700875,0.009807,0.009807,0.019701,0
0.715806,-0.000000,-0.000000,0.013775,0
0.749515,0.029420,0.029420,0.010715,0
0.763840,0.068647,0.068647,0.010180,0
0.796239,-0.049033,-0.049033,0.009895,0
0.811871,0.019613,0.019613,0.015822,0
0.844380,0.009807,0.009807,0.018721,0
0.875900,-0.000000,-0.000000,0.019398,0
0.893807,-0.009807,-0.009807,0.013244,0
0.923968,0.009807,0.009807,0.010662,0
0.939983,0.019613,0.019613,0.010136,0
0.971979,0.098067,0.009807,0.009885,1
0.988019,0.068647,0.068647,0.009837,0
1.020055,0.009807,0.009807,0.009814,0
1.036038,0.019613,0.019613,0.009809,0
1.068046,0.058840,0.058840,0.009807,0
1.100982,0.039227,0.039227,0.009807,0
1.116069,-0.009807,-0.009807,0.009807,0
1.151703,-0.019613,-0.019613,0.009807,0
1.164077,0.029420,0.029420,0.015230,0
1.197017,-0.029420,-0.029420,0.018593,0
1.213043,0.009807,0.009807,0.019221,0
1.244226,-0.019613,-0.019613,0.026943,0
1.276200,0.078453,0.078453,0.028830,0
1.292247,0.000000,0.000000,0.029193,0
1.324283,0.068647,0.068647,0.029366,0
1.340257,0.009807,0.009807,0.029399,0
1.372317,0.039227,0.039227,0.029415,0
1.388269,0.058840,0.058840,0.029418,0
1.420299,0.019613,0.019613,0.029419,0
1.454263,0.078453,0.078453,0.029420,0
1.468345,0.029420,0.029420,0.029420,0
1.500429,0.039227,0.039227,0.029420,0
1.516367,-0.058840,0.029420,0.029420,1
1.548379,0.039227,0.039227,0.029420,0
1.564521,-0.009807,-0.009807,0.029420,0
1.596412,0.039227,0.039227,0.029420,0
1.628407,0.019613,0.019613,0.029420,0
1.644419,0.009807,0.009807,0.029420,0
1.676520,0.049033,0.049033,0.029420,0
1.692499,-0.000000,-0.000000,0.029420,0
1.724618,-0.009807,-0.009807,0.021942,0
1.740523,-0.039227,-0.039227,0.020512,0
1.772538,0.029420,0.029420,0.019827,0
1.788536,0.029420,0.029420,0.019696,0
1.820591,0.009807,0.009807,0.019633,0
1.852668,0.088260,0.088260,0.019618,0
1.869460,0.009807,0.009807,0.019615,0
1.900642,0.049033,0.049033,0.019614,0
1.916816,0.019613,0.019613,0.025673,0
1.948701,0.009807,0.009807,0.028525,0
1.965708,0.009807,0.009807,0.029089,0
1.996735,-0.039227,-0.039227,0.036756,0
2.014843,0.039227,0.039227,0.038347,0
2.044769,0.019613,0.019613,0.046357,0
2.076905,0.039227,0.039227,0.078315,0
2.092846,0.902212,0.902212,0.584608,0
2.125260,1.588677,1.588677,1.351947,0
2.140851,1.971137,1.971137,1.729180,0
2.173374,2.216303,2.216303,2.101748,0
2.188867,2.843928,2.843928,2.552797,0
2.221239,3.285228,3.285228,3.112371,0
2.252907,3.716720,3.716720,3.571681,0
2.273113,3.854013,3.854013,3.760544,0
2.300963,3.952080,3.952080,3.901476,0
2.316963,4.354153,4.354153,4.180046,0
2.349020,4.883712,4.883712,4.716399,0
2.365013,5.256364,5.256364,5.048630,0
2.397041,5.530951,5.530951,5.416189,0
2.429593,5.893797,5.893797,5.781556,0
2.445089,6.344903,6.344903,6.123948,0
2.477523,6.472389,6.472389,6.390275,0
2.493134,6.737169,6.737169,6.601722,0
2.526825,7.198081,7.198081,7.061586,0
2.541215,7.708027,7.708027,7.442984,0
2.573560,8.453332,8.453332,8.214733,0
2.589207,9.139798,9.139798,8.779107,0
2.621235,9.757617,9.757617,9.524793,0
2.653264,10.257756,10.257756,10.083361,0
2.669271,10.816735,10.816735,10.534744,0
2.701335,11.807207,11.807207,11.504700,0
2.717309,12.042566,12.042566,11.835488,0
2.749324,12.111213,12.111213,12.045587,0
2.765348,12.405412,12.405412,12.267146,0
2.797373,13.101684,13.101684,12.903103,0
2.832226,14.229449,14.229449,13.933740,0
2.845390,14.778622,14.778622,14.413882,0
2.877428,15.249341,15.249341,15.050602,0
2.893458,15.896580,15.896580,15.571579,0
2.925474,16.259426,16.259426,16.095715,0
2.941490,16.877245,16.877245,16.576841,0
2.973533,17.151831,17.151831,17.000120,0
3.005459,17.132218,17.132218,17.115646,0
3.021436,17.396997,17.396997,17.288689,0
3.053579,17.906943,17.906943,17.760239,0
3.069572,18.534568,18.534568,18.236669,0
3.101594,18.907221,18.907221,18.747650,0
3.117602,19.574073,19.574073,19.256316,0
3.149625,20.476285,20.476285,20.185975,0
3.165602,20.907778,20.907778,20.629916,0
3.197632,21.976703,21.976703,21.656268,0
3.229678,22.780848,22.780848,22.513384,0
3.245697,22.937754,22.937754,22.774654,0
3.277718,23.153501,23.153501,23.063344,0
3.294537,23.673253,23.673253,23.445836,0
3.325760,23.771320,23.771320,23.670080,0
3.342296,23.908613,23.908613,23.733168,0
3.373756,24.202812,24.202812,23.866296,0
3.405757,23.741900,23.741900,23.988199,0
3.421731,24.026293,24.026293,24.120186,0
3.453912,25.320770,25.320770,24.332859,0
3.469901,25.203090,25.203090,24.596747,0
3.501967,24.761791,24.761791,24.730032,0
3.517892,25.095217,25.095217,24.839900,0
3.550404,25.271737,25.271737,24.960161,0
3.581851,24.771598,24.771598,24.988226,0
3.598363,23.653640,24.997151,25.054862,1
3.630000,24.075326,25.095217,25.085525,1
3.648261,25.222704,25.222704,25.091788,0
3.678022,25.713036,25.713036,25.101695,0
3.694021,24.398945,24.398945,25.115813,0
3.726081,24.908891,24.908891,25.122539,0
3.742068,25.340384,25.340384,25.123830,0
3.774116,25.105024,25.105024,25.199189,0
3.806469,24.997151,24.997151,25.232134,0
3.822116,25.095217,25.095217,25.238347,0
3.854306,25.124637,25.124637,25.271305,0
3.870166,25.281544,25.281544,25.277584,0
3.904846,25.722843,25.722843,25.326328,0
3.918211,25.722843,25.722843,25.396073,0
3.950232,25.771876,25.771876,25.435838,0
3.982181,25.664003,25.664003,25.445296,0
3.998234,25.242317,25.242317,25.483376,0
4.030239,25.281544,25.281544,25.568698,0
4.046345,25.732650,25.732650,25.615396,0
4.078292,25.595356,25.595356,25.637478,0
4.094269,25.644390,25.644390,25.641729,0
4.126337,25.732650,25.732650,25.643757,0
4.142367,25.507097,25.507097,25.644147,0
4.174386,25.448257,25.448257,25.644332,0
4.207139,25.644390,25.644390,25.606812,0
4.222465,25.418837,25.418837,25.599880,0
4.254478,25.722843,25.722843,25.581488,0
4.270808,26.164142,26.164142,25.577925,0
4.302510,25.968009,25.968009,25.576266,0
4.318782,25.673810,25.673810,25.533425,0
4.350581,25.134444,25.134444,25.468632,0
4.382493,24.987344,24.987344,25.430718,0
4.398575,24.987344,24.987344,25.381065,0
4.430574,25.163864,25.163864,25.350070,0
4.446532,25.350190,25.350190,25.338086,0
4.478707,25.654196,25.654196,25.257543,0
4.494651,25.575743,25.575743,25.224079,0
4.526633,25.340384,25.340384,25.178207,0
4.542586,25.203090,25.203090,25.151306,0
4.574724,25.016764,25.016764,25.048693,0
4.606729,24.261652,24.261652,25.001949,0
4.624468,24.644111,24.644111,24.992609,0
4.654800,25.330577,25.330577,24.730519,0
4.672099,25.232510,25.232510,24.433404,0
4.702778,24.242039,24.242039,24.289082,0
4.720226,22.653361,22.653361,23.249296,0
4.750794,21.937476,21.937476,22.497297,0
4.782884,22.251289,22.251289,22.070482,0
4.798857,21.800183,21.800183,21.904252,0
4.830943,18.711088,18.711088,19.469812,0
4.846868,14.249062,14.249062,19.003749,0
4.879259,13.670470,13.670470,18.780127,0
4.894890,14.101963,14.101963,18.738024,0
4.927430,13.984283,13.984283,18.717420,0
4.958933,15.004174,15.004174,18.712614,0
4.976926,17.357771,17.357771,18.711633,0
