timestamp,pitch_deg,roll_deg,Force X (N),Force Y (N),Force Z (N),Torque X (N-m),Torque Y (N-m),Torque Z (N-m)
2025-09-09 15:17:12.541242,-23.663550170647255,-2.65872122240747,2.82496118545532,-12.1496677398682,-28.6818103790283,1.4449667930603,-0.411814004182816,0.0989039242267609
2025-09-09 15:17:12.561970,-23.551165227731104,-2.58373066540044,2.82496118545532,-12.1496677398682,-28.6818103790283,1.4449667930603,-0.411814004182816,0.0989039242267609
2025-09-09 15:17:12.582698,-23.42496615662035,-2.273549468546806,2.82496118545532,-12.1496677398682,-28.6818103790283,1.4449667930603,-0.411814004182816,0.0989039242267609
2025-09-09 15:17:12.603426,-23.172885873889925,-2.9480614308742927,2.82496118545532,-12.1496677398682,-28.6818103790283,1.4449667930603,-0.411814004182816,0.0989039242267609
2025-09-09 15:17:12.624154,-23.17257342109262,-2.935671285961201,2.82496118545532,-12.1496677398682,-28.6818103790283,1.4449667930603,-0.411814004182816,0.0989039242267609
2025-09-09 15:17:12.644882,-23.297575279872515,-2.675586915253851,2.82496118545532,-12.1496677398682,-28.6818103790283,1.4449667930603,-0.411814004182816,0.0989039242267609
2025-09-09 15:17:12.665610,-23.52492759009169,-2.908281821939785,2.818203368028054,-12.115466021699575,-28.736911841353102,1.4367192553802794,-0.4026180306668683,0.08829423621864135
2025-09-09 15:17:12.686338,-23.400938788378955,-2.9275351321776757,2.7953144674675166,-11.947347447342487,-28.93234733964823,1.3934459998559416,-0.364068704617629,0.04548465037100147
2025-09-09 15:17:12.707066,-23.22758702253111,-3.0026327084691764,2.7857229455230588,-11.803029458676177,-28.925749569383676,1.3463308179055538,-0.33472702590993114,0.0206021838465826
2025-09-09 15:17:12.727794,-23.380348085414525,-2.9725477200779733,2.791801601183698,-11.867335848304972,-28.782035815508582,1.335684661998645,-0.31534827891271355,0.02095749969267601
2025-09-09 15:17:12.748522,-23.47659647959683,-2.4419045996626654,2.8449492038752395,-11.937671364648653,-28.704812526831848,1.3407258583847514,-0.31009815597565343,0.04177012962080864
2025-09-09 15:17:12.769250,-23.24230426490292,-2.3499451144245174,2.8423571807428205,-11.898472158949648,-28.715514665791243,1.346852582827508,-0.33654888547660977,0.07783733678299376
2025-09-09 15:17:12.789978,-23.05402810101386,-2.6127757188436287,2.736355709316431,-11.93760588813146,-28.783891940303377,1.3686251594786598,-0.39071175019641197,0.11044639805276124
2025-09-09 15:17:12.810706,-23.07412136056497,-2.6919985692670862,2.6561676531234832,-11.921165507516456,-28.83271153692241,1.378542253020242,-0.4411713824084667,0.12297784940077437
2025-09-09 15:17:12.831434,-23.447166858758493,-2.8680229043722276,2.5831574605503005,-11.911310271110962,-28.8901495200449,1.3784285308636741,-0.49123734505428573,0.11715710972111518
2025-09-09 15:17:12.852162,-23.8301471167448,-2.7471574382791846,2.5532923482219623,-11.899410049038323,-28.83699601671189,1.375542849251561,-0.5228709988602834,0.09529892695698755
2025-09-09 15:17:12.872890,-23.725425340793766,-2.796645738703368,2.5848682834030705,-11.94508571141989,-28.71605328344747,1.381481668983006,-0.5258679552992963,0.07098599177244286
2025-09-09 15:17:12.893618,-23.187495110891877,-2.8749960438860542,2.726277058837057,-11.91351022169144,-28.8055330423129,1.3767810851122206,-0.48940871823987087,0.05686297339175768
2025-09-09 15:17:12.914346,-23.221194499385646,-2.9814633610322283,2.7151153553940586,-11.776540540449343,-29.062614578299588,1.3702085954064278,-0.4461054408100449,0.06325905328531918
2025-09-09 15:17:12.935074,-23.3790254886266,-2.343623807657966,2.692818391168942,-11.85593058720094,-29.13221615291314,1.398825260387226,-0.38284984363394803,0.0846710602430259
2025-09-09 15:17:12.955802,-23.435389085572986,-2.367695494847276,2.8540221003649267,-11.9707423627106,-28.903353493440918,1.431452971723906,-0.2981634009714029,0.11457044057514264
