# OpenScale raw session
# started_at_utc,2026-06-09T09:52:05.837219+00:00
# started_at_unix,1780998725.837219
# port,/dev/ttyUSB0
# baudrate,115200
timestamp_unix,timestamp_utc,elapsed_s,raw_text,value_kg,unit,is_numeric
1780998725.800381,2026-06-09T09:52:05.800381+00:00,0.000000,"-0.002,kg,",-0.002000,kg,1
1780998725.832456,2026-06-09T09:52:05.832456+00:00,0.000000,"0.001,kg,",0.001000,kg,1
1780998725.848739,2026-06-09T09:52:05.848739+00:00,0.011520,"0.002,kg,",0.002000,kg,1
1780998725.880484,2026-06-09T09:52:05.880484+00:00,0.043265,"0.004,kg,",0.004000,kg,1
1780998725.912775,2026-06-09T09:52:05.912775+00:00,0.075556,"-0.002,kg,",-0.002000,kg,1
1780998725.928508,2026-06-09T09:52:05.928508+00:00,0.091289,"0.004,kg,",0.004000,kg,1
1780998725.960594,2026-06-09T09:52:05.960594+00:00,0.123375,"0.002,kg,",0.002000,kg,1
1780998725.976712,2026-06-09T09:52:05.976712+00:00,0.139494,"0.002,kg,",0.002000,kg,1
1780998726.008570,2026-06-09T09:52:06.008570+00:00,0.171351,"0.009,kg,",0.009000,kg,1
1780998726.024577,2026-06-09T09:52:06.024577+00:00,0.187358,"0.000,kg,",0.000000,kg,1
1780998726.056615,2026-06-09T09:52:06.056615+00:00,0.219396,"0.002,kg,",0.002000,kg,1
1780998726.072858,2026-06-09T09:52:06.072858+00:00,0.235639,"0.005,kg,",0.005000,kg,1
1780998726.104675,2026-06-09T09:52:06.104675+00:00,0.267456,"0.014,kg,",0.014000,kg,1
1780998726.136683,2026-06-09T09:52:06.136683+00:00,0.299464,"0.005,kg,",0.005000,kg,1
1780998726.152689,2026-06-09T09:52:06.152689+00:00,0.315470,"0.009,kg,",0.009000,kg,1
1780998726.184726,2026-06-09T09:52:06.184726+00:00,0.347508,"0.008,kg,",0.008000,kg,1
1780998726.200695,2026-06-09T09:52:06.200695+00:00,0.363477,"0.007,kg,",0.007000,kg,1
1780998726.232748,2026-06-09T09:52:06.232748+00:00,0.395530,"0.006,kg,",0.006000,kg,1
1780998726.248750,2026-06-09T09:52:06.248750+00:00,0.411532,"0.002,kg,",0.002000,kg,1
1780998726.281839,2026-06-09T09:52:06.281839+00:00,0.444620,"0.008,kg,",0.008000,kg,1
1780998726.312805,2026-06-09T09:52:06.312805+00:00,0.475586,"0.005,kg,",0.005000,kg,1
1780998726.329071,2026-06-09T09:52:06.329071+00:00,0.491853,"0.007,kg,",0.007000,kg,1
1780998726.360871,2026-06-09T09:52:06.360871+00:00,0.523652,"0.001,kg,",0.001000,kg,1
1780998726.376951,2026-06-09T09:52:06.376951+00:00,0.539733,"-0.004,kg,",-0.004000,kg,1
1780998726.408906,2026-06-09T09:52:06.408906+00:00,0.571687,"-0.002,kg,",-0.002000,kg,1
1780998726.425254,2026-06-09T09:52:06.425254+00:00,0.588036,"0.010,kg,",0.010000,kg,1
1780998726.456952,2026-06-09T09:52:06.456952+00:00,0.619733,"0.005,kg,",0.005000,kg,1
1780998726.489005,2026-06-09T09:52:06.489005+00:00,0.651786,"0.005,kg,",0.005000,kg,1
1780998726.504972,2026-06-09T09:52:06.504972+00:00,0.667753,"0.002,kg,",0.002000,kg,1
1780998726.538094,2026-06-09T09:52:06.538094+00:00,0.700875,"0.001,kg,",0.001000,kg,1
1780998726.553025,2026-06-09T09:52:06.553025+00:00,0.715806,"-0.000,kg,",-0.000000,kg,1
1780998726.586734,2026-06-09T09:52:06.586734+00:00,0.749515,"0.003,kg,",0.003000,kg,1
1780998726.601059,2026-06-09T09:52:06.601059+00:00,0.763840,"0.007,kg,",0.007000,kg,1
1780998726.633458,2026-06-09T09:52:06.633458+00:00,0.796239,"-0.005,kg,",-0.005000,kg,1
1780998726.649090,2026-06-09T09:52:06.649090+00:00,0.811871,"0.002,kg,",0.002000,kg,1
1780998726.681599,2026-06-09T09:52:06.681599+00:00,0.844380,"0.001,kg,",0.001000,kg,1
1780998726.713119,2026-06-09T09:52:06.713119+00:00,0.875900,"-0.000,kg,",-0.000000,kg,1
1780998726.731026,2026-06-09T09:52:06.731026+00:00,0.893807,"-0.001,kg,",-0.001000,kg,1
1780998726.761186,2026-06-09T09:52:06.761186+00:00,0.923968,"0.001,kg,",0.001000,kg,1
1780998726.777202,2026-06-09T09:52:06.777202+00:00,0.939983,"0.002,kg,",0.002000,kg,1
1780998726.809198,2026-06-09T09:52:06.809198+00:00,0.971979,"0.010,kg,",0.010000,kg,1
1780998726.825238,2026-06-09T09:52:06.825238+00:00,0.988019,"0.007,kg,",0.007000,kg,1
1780998726.857274,2026-06-09T09:52:06.857274+00:00,1.020055,"0.001,kg,",0.001000,kg,1
1780998726.873256,2026-06-09T09:52:06.873256+00:00,1.036038,"0.002,kg,",0.002000,kg,1
